,Unnamed: 0.1,Unnamed: 0,HOUR,ROUND,SPORT,NAME,BIRTH DATE,NAT.,PLACE,MARK
45,45,239,10:36:00,Round 1 - Heat 3,Men's 200 Metres,Joseph FAHNBULLEH,11 SEP 2001,LBR,2.0,20.42
46,46,240,10:36:00,Round 1 - Heat 3,Men's 200 Metres,William REAIS,04 MAY 1999,SUI,3.0,20.5
47,47,241,10:36:00,Round 1 - Heat 3,Men's 200 Metres,Joshua HARTMANN,09 JUN 1999,GER,4.0,20.51
48,48,242,10:36:00,Round 1 - Heat 3,Men's 200 Metres,Blessing Akwasi AFRIFAH,26 OCT 2003,ISR,5.0,20.73
49,49,243,10:36:00,Round 1 - Heat 3,Men's 200 Metres,Aidan MURPHY,14 OCT 2003,AUS,6.0,20.9
50,50,244,10:36:00,Round 1 - Heat 3,Men's 200 Metres,Marcos SANTOS,15 JAN 2004,ANG,7.0,21.05
51,51,245,10:36:00,Round 1 - Heat 3,Men's 200 Metres,Hachim MAAROUFOU,13 FEB 1997,COM,8.0,21.29
52,52,246,10:36:00,Round 1 - Heat 3,Men's 200 Metres,Letsile TEBOGO,07 JUN 2003,BOT,1.0,20.22
53,53,247,10:45:00,Round 1 - Heat 1,Men's 200 Metres,Zharnel HUGHES,13 JUL 1995,GBR,1.0,19.99
54,54,248,10:45:00,Round 1 - Heat 1,Men's 200 Metres,Aaron BROWN,27 MAY 1992,CAN,2.0,20.08
55,55,249,10:45:00,Round 1 - Heat 1,Men's 200 Metres,Luxolo ADAMS,01 AUG 1996,RSA,3.0,20.15
56,56,250,10:45:00,Round 1 - Heat 1,Men's 200 Metres,Shota IIZUKA,25 JUN 1991,JPN,4.0,20.27
57,57,251,10:45:00,Round 1 - Heat 1,Men's 200 Metres,Taymir BURNET,01 OCT 1992,NED,5.0,20.31
58,58,252,10:45:00,Round 1 - Heat 1,Men's 200 Metres,Eseosa Fostine DESALU,19 FEB 1994,ITA,6.0,20.49
59,59,253,10:45:00,Round 1 - Heat 1,Men's 200 Metres,Gediminas TRUSKAUSKAS,02 JAN 1998,LTU,7.0,20.9
60,60,254,10:45:00,Round 1 - Heat 1,Men's 200 Metres,Franko BURRAJ,19 AUG 1998,ALB,8.0,21.52
61,61,255,10:45:00,Round 1 - Heat 1,Women's 200 Metres,Anthonique STRACHAN,22 AUG 1993,BAH,1.0,22.31
62,62,256,10:45:00,Round 1 - Heat 1,Women's 200 Metres,Daryll NEITA,29 AUG 1996,GBR,2.0,22.39
63,63,257,10:45:00,Round 1 - Heat 1,Women's 200 Metres,Jaël BESTUÉ,24 SEP 2000,ESP,3.0,22.58
64,64,258,10:45:00,Round 1 - Heat 1,Women's 200 Metres,Favour OFILI,31 DEC 2002,NGR,4.0,22.66
65,65,259,10:45:00,Round 1 - Heat 1,Women's 200 Metres,Léonie POINTET,17 FEB 2001,SUI,5.0,23.16
66,66,260,10:45:00,Round 1 - Heat 1,Women's 200 Metres,Yunisleidy GARCÍA ABREU,11 AUG 1999,CUB,6.0,23.22
67,67,261,10:45:00,Round 1 - Heat 1,Women's 200 Metres,Ana Carolina AZEVEDO,19 MAY 1998,BRA,7.0,23.45
68,68,262,10:45:00,Round 1 - Heat 1,Women's 200 Metres,Aino PULKKINEN,02 FEB 1998,FIN,8.0,23.48
69,69,263,10:54:00,Round 1 - Heat 2,Women's 200 Metres,Sha'Carri RICHARDSON,25 MAR 2000,USA,1.0,22.16
70,70,264,10:54:00,Round 1 - Heat 2,Women's 200 Metres,Marie-Josée TA LOU,18 NOV 1988,CIV,2.0,22.26
71,71,265,10:54:00,Round 1 - Heat 2,Women's 200 Metres,Olivia FOTOPOULOU,20 DEC 1996,CYP,3.0,22.65
72,72,266,10:54:00,Round 1 - Heat 2,Women's 200 Metres,Polyniki EMMANOUILIDOU,30 JUN 2003,GRE,4.0,23.0
73,73,267,10:54:00,Round 1 - Heat 2,Women's 200 Metres,Ashanti MOORE,07 NOV 2000,JAM,5.0,23.12
74,74,268,10:54:00,Round 1 - Heat 2,Women's 200 Metres,Lorène Dorcas BAZOLO,04 MAY 1983,POR,6.0,23.13
75,75,269,10:54:00,Round 1 - Heat 2,Women's 200 Metres,Anniina KORTETMAA,09 JAN 1995,FIN,7.0,23.52
76,76,270,10:54:00,Round 1 - Heat 2,Women's 200 Metres,Gorete SEMEDO,05 OCT 1996,STP,8.0,23.69
77,77,271,11:03:00,Round 1 - Heat 3,Women's 200 Metres,Shericka JACKSON,16 JUL 1994,JAM,1.0,22.51
78,78,272,11:03:00,Round 1 - Heat 3,Women's 200 Metres,Veronica Shanti PEREIRA,20 SEP 1996,SGP,2.0,22.57
79,79,273,11:03:00,Round 1 - Heat 3,Women's 200 Metres,Jessika GBAI,29 DEC 1998,CIV,3.0,22.78
80,80,274,11:03:00,Round 1 - Heat 3,Women's 200 Metres,Adaejah HODGE,21 MAR 2006,IVB,4.0,22.82
81,81,275,11:03:00,Round 1 - Heat 3,Women's 200 Metres,Susanne GOGL-WALLI,05 MAY 1996,AUT,5.0,23.38
82,82,276,11:03:00,Round 1 - Heat 3,Women's 200 Metres,Alexa SULYÁN,17 APR 2005,HUN,6.0,23.47
83,83,277,11:03:00,Round 1 - Heat 3,Women's 200 Metres,Nicole CAICEDO,02 SEP 2000,ECU,7.0,23.51
84,84,278,11:12:00,Round 1 - Heat 6,Women's 200 Metres,Dina ASHER-SMITH,04 DEC 1995,GBR,1.0,22.46
85,85,279,11:12:00,Round 1 - Heat 6,Women's 200 Metres,Maboundou KONÉ,16 MAY 1997,CIV,2.0,22.55
86,86,280,11:12:00,Round 1 - Heat 6,Women's 200 Metres,Kayla WHITE,14 SEP 1996,USA,3.0,22.62
87,87,281,11:12:00,Round 1 - Heat 6,Women's 200 Metres,Dalia KADDARI,23 MAR 2001,ITA,4.0,22.67
88,88,282,11:12:00,Round 1 - Heat 6,Women's 200 Metres,Krystsina TSIMANOUSKAYA,19 NOV 1996,POL,5.0,22.88
89,89,283,11:12:00,Round 1 - Heat 6,Women's 200 Metres,Remi TSURUTA,18 APR 1997,JPN,6.0,23.49
90,90,284,11:12:00,Round 1 - Heat 6,Women's 200 Metres,Rhoda NJOBVU,29 JAN 1994,ZAM,7.0,23.82
91,91,285,11:12:00,Round 1 - Heat 6,Women's 200 Metres,Vitoria Cristina ROSA,12 JAN 1996,BRA,8.0,23.86
92,92,286,11:21:00,Round 1 - Heat 4,Women's 200 Metres,Julien ALFRED,10 JUN 2001,LCA,1.0,22.31
93,93,287,11:21:00,Round 1 - Heat 4,Women's 200 Metres,Natalliah WHYTE,09 AUG 1997,JAM,2.0,22.44
94,94,288,11:21:00,Round 1 - Heat 4,Women's 200 Metres,Bianca WILLIAMS,18 DEC 1993,GBR,3.0,22.67
95,95,289,11:21:00,Round 1 - Heat 4,Women's 200 Metres,Gina BASS,03 MAY 1995,GAM,4.0,23.02
96,96,290,11:21:00,Round 1 - Heat 4,Women's 200 Metres,Georgia HULLS,27 AUG 1999,NZL,5.0,23.36
97,97,291,11:21:00,Round 1 - Heat 4,Women's 200 Metres,Julia HENRIKSSON,11 JUL 2000,SWE,6.0,23.55
98,98,292,11:30:00,Round 1 - Heat 5,Women's 200 Metres,Gabrielle THOMAS,07 DEC 1996,USA,1.0,22.26
99,99,293,11:30:00,Round 1 - Heat 5,Women's 200 Metres,Kevona DAVIS,20 DEC 2001,JAM,2.0,22.49
100,100,294,11:30:00,Round 1 - Heat 5,Women's 200 Metres,Tasa JIYA,16 SEP 1997,NED,3.0,22.97
101,101,295,11:30:00,Round 1 - Heat 5,Women's 200 Metres,Boglárka TAKÁCS,28 AUG 2001,HUN,4.0,23.24
102,102,296,11:30:00,Round 1 - Heat 5,Women's 200 Metres,Cecilia TAMAYO-GARZA,04 MAR 1997,MEX,5.0,23.25
103,103,297,11:30:00,Round 1 - Heat 5,Women's 200 Metres,Martyna KOTWIŁA,13 JAN 1999,POL,6.0,23.34
104,104,298,11:30:00,Round 1 - Heat 5,Women's 200 Metres,Christine Bjelland JENSEN,16 JUN 1994,NOR,7.0,23.62
105,105,299,12:00:00,Qualification - Group 2,Women's Shot Put,Auriol DONGMO,03 AUG 1990,POR,1.0,19.59
106,106,300,12:03:00,Qualification - Group 2,Women's Shot Put,Yemisi OGUNLEYE,03 OCT 1998,GER,2.0,19.44
107,107,301,12:06:00,Qualification - Group 2,Women's Shot Put,Chase EALY,20 JUL 1994,USA,3.0,19.27
108,108,302,12:09:00,Qualification - Group 2,Women's Shot Put,Lijiao GONG,24 JAN 1989,CHN,4.0,19.16
109,109,303,12:12:00,Qualification - Group 2,Women's Shot Put,Jorinde VAN KLINKEN,02 FEB 2000,NED,5.0,18.66
110,110,304,12:15:00,Qualification - Group 2,Women's Shot Put,Maddison-Lee WESCHE,13 JUN 1999,NZL,6.0,18.59
111,111,305,12:18:00,Qualification - Group 2,Women's Shot Put,Fanny ROOS,02 JAN 1995,SWE,7.0,18.41
112,112,306,12:21:00,Qualification - Group 2,Women's Shot Put,Julia RITTER,13 MAY 1998,GER,8.0,18.41
113,113,307,12:24:00,Qualification - Group 2,Women's Shot Put,Linru ZHANG,23 SEP 1999,CHN,9.0,18.08
114,114,308,12:27:00,Qualification - Group 2,Women's Shot Put,Sara LENNMAN,08 APR 1996,SWE,10.0,18.05
115,115,309,12:30:00,Qualification - Group 2,Women's Shot Put,Eliana BANDEIRA,01 JUL 1996,POR,11.0,17.79
116,116,310,12:33:00,Qualification - Group 2,Women's Shot Put,Klaudia KARDASZ,02 MAY 1996,POL,12.0,17.27
117,117,311,12:36:00,Qualification - Group 2,Women's Shot Put,Jalani DAVIS,23 MAY 2001,USA,13.0,16.93
118,118,312,12:39:00,Qualification - Group 2,Women's Shot Put,Livia AVANCINI,08 MAY 1992,BRA,14.0,16.62
119,119,313,12:42:00,Qualification - Group 2,Women's Shot Put,Ivana Xennia GALLARDO,20 JUL 1993,CHI,15.0,16.55
120,120,314,12:45:00,Qualification - Group 2,Women's Shot Put,Ischke SENEKAL,08 JAN 1993,RSA,16.0,16.2
121,121,315,12:48:00,Qualification - Group 2,Women's Shot Put,Emilia KANGAS,10 AUG 2001,FIN,17.0,15.94
122,122,316,13:27:00,Qualification - Group 1,Women's Shot Put,Jessica SCHILDER,19 MAR 1999,NED,1.0,19.64
123,123,317,13:30:00,Qualification - Group 1,Women's Shot Put,Maggie EWEN,23 SEP 1994,USA,2.0,19.42
124,124,318,13:33:00,Qualification - Group 1,Women's Shot Put,Sarah MITTON,20 JUN 1996,CAN,3.0,19.37
125,125,319,13:36:00,Qualification - Group 1,Women's Shot Put,Danniel THOMAS-DODD,11 NOV 1992,JAM,4.0,19.36
126,126,320,13:39:00,Qualification - Group 1,Women's Shot Put,Sara GAMBETTA,18 FEB 1993,GER,5.0,18.7
127,127,321,13:42:00,Qualification - Group 1,Women's Shot Put,Jiayuan SONG,15 SEP 1997,CHN,6.0,18.64
128,128,322,13:45:00,Qualification - Group 1,Women's Shot Put,Axelina JOHANSSON,20 APR 2000,SWE,7.0,18.57
129,129,323,13:48:00,Qualification - Group 1,Women's Shot Put,Jessica INCHUDE,25 MAR 1996,POR,8.0,18.16
130,130,324,13:51:00,Qualification - Group 1,Women's Shot Put,Alida VAN DAALEN,12 APR 2002,NED,9.0,17.93
131,131,325,13:54:00,Qualification - Group 1,Women's Shot Put,Anita MÁRTON,15 JAN 1989,HUN,10.0,17.85
132,132,326,13:57:00,Qualification - Group 1,Women's Shot Put,Dimitriana BEZEDE,12 APR 1994,MDA,11.0,17.69
133,133,327,14:00:00,Qualification - Group 1,Women's Shot Put,Adelaide AQUILLA,03 MAR 1999,USA,12.0,17.42
134,134,328,14:03:00,Qualification - Group 1,Women's Shot Put,Ana Caroline SILVA,12 FEB 1999,BRA,13.0,17.18
135,135,329,14:06:00,Qualification - Group 1,Women's Shot Put,Erna Sóley GUNNARSDÓTTIR,22 MAR 2000,ISL,14.0,16.68
136,136,330,14:09:00,Qualification - Group 1,Women's Shot Put,Eveliina ROUVALI,16 APR 1997,FIN,15.0,16.61
137,137,331,14:12:00,Qualification - Group 1,Women's Shot Put,Senja MÄKITÖRMÄ,31 MAY 1994,FIN,16.0,16.27
138,138,332,14:15:00,Qualification - Group 1,Women's Shot Put,Yusun JEONG,19 DEC 1997,KOR,17.0,15.56
139,139,333,12:00:00,Qualification - Group 2,Women's High Jump,Vashti CUNNINGHAM,18 JAN 1998,USA,1.0,1.92
140,140,334,12:04:00,Qualification - Group 2,Women's High Jump,Nicola OLYSLAGERS,28 DEC 1996,AUS,2.0,1.92
141,141,335,12:08:00,Qualification - Group 2,Women's High Jump,Lia APOSTOLOVSKI,23 JUN 2000,SLO,3.0,1.89
142,142,336,12:12:00,Qualification - Group 2,Women's High Jump,Iryna GERASHCHENKO,10 MAR 1995,UKR,3.0,1.89
143,143,337,12:16:00,Qualification - Group 2,Women's High Jump,Nadezhda DUBOVITSKAYA,12 MAR 1998,KAZ,5.0,1.89
144,144,338,12:20:00,Qualification - Group 2,Women's High Jump,Solène GICQUEL,01 DEC 1994,FRA,6.0,1.89
145,145,339,12:24:00,Qualification - Group 2,Women's High Jump,Christina HONSEL,07 JUL 1997,GER,6.0,1.89
146,146,340,12:28:00,Qualification - Group 2,Women's High Jump,Elisabeth PIHELA,15 MAR 2004,EST,8.0,1.89
147,147,341,12:32:00,Qualification - Group 2,Women's High Jump,Merel MAES,22 JAN 2005,BEL,9.0,1.89
148,148,342,12:36:00,Qualification - Group 2,Women's High Jump,Tatiana GUSIN,26 JAN 1994,GRE,9.0,1.89
149,149,343,12:40:00,Qualification - Group 2,Women's High Jump,Daniela STANCIU,15 OCT 1987,ROU,11.0,1.85
150,150,344,12:44:00,Qualification - Group 2,Women's High Jump,Michaela HRUBÁ,21 FEB 1998,CZE,11.0,1.85
151,151,345,12:48:00,Qualification - Group 2,Women's High Jump,Yuliya CHUMACHENKO,02 OCT 1994,UKR,13.0,1.85
152,152,346,12:52:00,Qualification - Group 2,Women's High Jump,Marija VUKOVIĆ,21 JAN 1992,MNE,14.0,1.85
153,153,347,12:56:00,Qualification - Group 2,Women's High Jump,Kimberly WILLIAMSON,02 OCT 1993,JAM,15.0,1.85
154,154,348,13:00:00,Qualification - Group 2,Women's High Jump,Yelizaveta MATVEYEVA,09 DEC 2001,KAZ,16.0,1.8
155,155,349,13:04:00,Qualification - Group 2,Women's High Jump,Safina SADULLAYEVA,04 MAR 1998,UZB,16.0,1.8
156,156,350,13:08:00,Qualification - Group 2,Women's High Jump,Heta TUURI,14 JAN 1995,FIN,18.0,1.8
157,157,351,13:12:00,Qualification - Group 1,Women's High Jump,Eleanor PATTERSON,22 MAY 1996,AUS,1.0,1.92
158,158,352,13:16:00,Qualification - Group 1,Women's High Jump,Yaroslava MAHUCHIKH,19 SEP 2001,UKR,1.0,1.92
159,159,353,13:20:00,Qualification - Group 1,Women's High Jump,Lamara DISTIN,03 MAR 2000,JAM,3.0,1.92
160,160,354,13:24:00,Qualification - Group 1,Women's High Jump,Morgan LAKE,12 MAY 1997,GBR,4.0,1.92
161,161,355,13:28:00,Qualification - Group 1,Women's High Jump,Angelina TOPIĆ,26 JUL 2005,SRB,5.0,1.92
162,162,356,13:32:00,Qualification - Group 1,Women's High Jump,Elena KULICHENKO,28 JUL 2002,CYP,6.0,1.92
163,163,357,13:36:00,Qualification - Group 1,Women's High Jump,Nawal MENIKER,09 DEC 1997,FRA,7.0,1.92
164,164,358,13:40:00,Qualification - Group 1,Women's High Jump,Ella JUNNILA,06 DEC 1998,FIN,7.0,1.89
165,165,359,13:44:00,Qualification - Group 1,Women's High Jump,Yuliia LEVCHENKO,28 NOV 1997,UKR,9.0,1.89
166,166,360,13:48:00,Qualification - Group 1,Women's High Jump,Airinė PALŠYTĖ,13 JUL 1992,LTU,10.0,1.89
167,167,361,13:52:00,Qualification - Group 1,Women's High Jump,Johanna GÖRING,06 APR 2005,GER,11.0,1.89
168,168,362,13:56:00,Qualification - Group 1,Women's High Jump,Kristina OVCHINNIKOVA,21 MAR 2001,KAZ,12.0,1.89
169,169,363,14:00:00,Qualification - Group 1,Women's High Jump,Valdileia MARTINS,19 SEP 1989,BRA,13.0,1.89
170,170,364,14:04:00,Qualification - Group 1,Women's High Jump,Erin SHAW,07 SEP 2004,AUS,14.0,1.89
171,171,365,14:08:00,Qualification - Group 1,Women's High Jump,Fédra FEKETE,04 APR 1998,HUN,15.0,1.89
172,172,366,12:00:00,Qualification - Group 1,Men's Shot Put,Darlan ROMANI,09 APR 1991,BRA,1.0,22.37
173,173,367,12:03:00,Qualification - Group 1,Men's Shot Put,Zane WEIR,07 SEP 1995,ITA,2.0,21.82
174,174,368,12:06:00,Qualification - Group 1,Men's Shot Put,Jacko GILL,20 DEC 1994,NZL,3.0,21.49
175,175,369,12:09:00,Qualification - Group 1,Men's Shot Put,Ryan CROUSER,18 DEC 1992,USA,4.0,21.48
176,176,370,12:12:00,Qualification - Group 1,Men's Shot Put,Filip MIHALJEVIĆ,31 JUL 1994,CRO,5.0,21.1
177,177,371,12:15:00,Qualification - Group 1,Men's Shot Put,Rajindra CAMPBELL,29 FEB 1996,JAM,6.0,20.83
178,178,372,12:18:00,Qualification - Group 1,Men's Shot Put,Chukwuebuka Cornnell ENEKWECHI,28 JAN 1993,NGR,7.0,20.68
179,179,373,12:21:00,Qualification - Group 1,Men's Shot Put,Mohamed KHALIFA,30 AUG 1996,EGY,8.0,20.68
180,180,374,12:24:00,Qualification - Group 1,Men's Shot Put,Scott LINCOLN,07 MAY 1993,GBR,9.0,20.22
181,181,375,12:27:00,Qualification - Group 1,Men's Shot Put,Asmir KOLAŠINAC,15 OCT 1984,SRB,10.0,20.01
182,182,376,12:30:00,Qualification - Group 1,Men's Shot Put,Josh AWOTUNDE,12 JUN 1995,USA,11.0,19.98
183,183,377,12:33:00,Qualification - Group 1,Men's Shot Put,Mesud PEZER,27 AUG 1994,BIH,12.0,19.86
184,184,378,12:36:00,Qualification - Group 1,Men's Shot Put,Eric FAVORS,16 NOV 1996,IRL,13.0,19.65
185,185,379,12:39:00,Qualification - Group 1,Men's Shot Put,Burger LAMBRECHTS JR.,06 AUG 1998,RSA,14.0,19.52
186,186,380,12:42:00,Qualification - Group 1,Men's Shot Put,Michał HARATYK,10 APR 1992,POL,15.0,19.51
187,187,381,12:45:00,Qualification - Group 1,Men's Shot Put,Francisco BELO,27 MAR 1991,POR,16.0,19.24
188,188,382,12:48:00,Qualification - Group 1,Men's Shot Put,Roman KOKOSHKO,16 AUG 1996,UKR,17.0,19.17
189,189,383,12:51:00,Qualification - Group 1,Men's Shot Put,Mark BUJNOWSKI,01 APR 1998,CAN,18.0,18.84
190,190,384,12:54:00,Qualification - Group 1,Men's Shot Put,Balázs TÓTH,09 MAY 2000,HUN,19.0,NM
191,191,385,12:57:00,Qualification - Group 2,Men's Shot Put,Tom WALSH,01 MAR 1992,NZL,1.0,21.73
192,192,386,13:00:00,Qualification - Group 2,Men's Shot Put,Joe KOVACS,28 JUN 1989,USA,2.0,21.59
193,193,387,13:03:00,Qualification - Group 2,Men's Shot Put,Payton OTTERDAHL,02 APR 1996,USA,3.0,21.54
194,194,388,13:06:00,Qualification - Group 2,Men's Shot Put,Armin SINANČEVIĆ,14 AUG 1996,SRB,4.0,20.92
195,195,389,13:09:00,Qualification - Group 2,Men's Shot Put,Mostafa Amr HASSAN,16 DEC 1995,EGY,5.0,20.81
196,196,390,13:12:00,Qualification - Group 2,Men's Shot Put,Leonardo FABBRI,15 APR 1997,ITA,6.0,20.74
197,197,391,13:15:00,Qualification - Group 2,Men's Shot Put,Uziel MUÑOZ,08 SEP 1995,MEX,7.0,20.62
198,198,392,13:18:00,Qualification - Group 2,Men's Shot Put,Tomáš STANĚK,13 JUN 1991,CZE,8.0,20.41
199,199,393,13:21:00,Qualification - Group 2,Men's Shot Put,Welington MORAIS,06 SEP 1996,BRA,9.0,20.3
200,200,394,13:24:00,Qualification - Group 2,Men's Shot Put,Marcus THOMSEN,07 JAN 1998,NOR,10.0,19.97
201,201,395,13:27:00,Qualification - Group 2,Men's Shot Put,Nazareno SASIA,05 JAN 2001,ARG,11.0,19.51
202,202,396,13:30:00,Qualification - Group 2,Men's Shot Put,Konrad BUKOWIECKI,17 MAR 1997,POL,12.0,19.21
203,203,397,13:33:00,Qualification - Group 2,Men's Shot Put,Tsanko ARNAUDOV,14 MAR 1992,POR,13.0,19.17
204,204,398,13:36:00,Qualification - Group 2,Men's Shot Put,Odysseas MOUZENIDIS,30 JUN 1999,GRE,14.0,19.08
205,205,399,13:39:00,Qualification - Group 2,Men's Shot Put,Fred MOUDANI-LIKIBI,10 MAY 1999,FRA,15.0,18.88
206,206,400,13:42:00,Qualification - Group 2,Men's Shot Put,Kyle BLIGNAUT,09 NOV 1999,RSA,16.0,18.82
207,207,401,13:45:00,Qualification - Group 2,Men's Shot Put,Andrei Rares TOADER,26 MAY 1997,ROU,16.0,NM
208,208,402,13:48:00,Final,Men's Shot Put,Ryan CROUSER,18 DEC 1992,USA,1.0,23.51
209,209,403,13:51:00,Final,Men's Shot Put,Leonardo FABBRI,15 APR 1997,ITA,2.0,22.34
210,210,404,13:54:00,Final,Men's Shot Put,Joe KOVACS,28 JUN 1989,USA,3.0,22.12
211,211,405,13:57:00,Final,Men's Shot Put,Tom WALSH,01 MAR 1992,NZL,4.0,22.05
212,212,406,14:00:00,Final,Men's Shot Put,Payton OTTERDAHL,02 APR 1996,USA,5.0,21.86
213,213,407,14:03:00,Final,Men's Shot Put,Jacko GILL,20 DEC 1994,NZL,6.0,21.76
214,214,408,14:06:00,Final,Men's Shot Put,Filip MIHALJEVIĆ,31 JUL 1994,CRO,7.0,21.57
215,215,409,14:09:00,Final,Men's Shot Put,Darlan ROMANI,09 APR 1991,BRA,8.0,21.41
216,216,410,14:12:00,Final,Men's Shot Put,Armin SINANČEVIĆ,14 AUG 1996,SRB,9.0,20.78
